place_id,name,address,category,rating,first_seen,location
ChIJJydS-LCNQTkRZKMspQ1ovMU,The Hoot at Royal Marwar Club,"The Hoot Foot Hill of Umaid Bhawan, Jodhpur, Rajasthan 342001, India",Vegetarian restaurant,4.1,2026-06-08 13:55,Jodhpur Rajasthan
ChIJdyRYUGmLQTkR-ZH3V3glk5g,Maa Ki Dhani (माँ की ढाणी),"near Union Bank, Saraswati Nagar, Basni, Jodhpur, Rajasthan 342001, India",Restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
ChIJfZ5gHL-NQTkR2XazI9Gjeu8,Bazar-All Day Dining Restaurant,"Shakun motor, Jawahar tower, 29, 2nd A Rd, Sector-H, Shastri Nagar, Jodhpur, Rajasthan 342003, India",Restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
ChIJja0W_buNQTkRBAqsCfSeKbk,Jaaton Ri Dhani Restaurant (जाटों री ढाणी रेस्टोरेंट),"Near SBI ATM, Tilak Nagar 2nd, Main, Bhadwasiya RTO Link Rd, Jodhpur, Rajasthan 342007, India",North Indian restaurant,4.5,2026-06-08 13:55,Jodhpur Rajasthan
ChIJ10kqHt6NQTkR9C0BW30-HDs,Bungalow 12,"12A, old, Residency Rd, Civil Lines, Ratanada, Jodhpur, Rajasthan 342001, India",Vegetarian restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
ChIJp7XNiXONQTkRY7nyqsxvHnk,Anna Cafe And Restaurant‍ Jodhpur,"Umaid chowk, Golnadi bajarang colony, near Hotel Bawarri haveli, Jodhpur, Rajasthan 342001, India",Indian restaurant,4.9,2026-06-08 13:55,Jodhpur Rajasthan
ChIJLbuDUgaNQTkRsZGliSxgaK8,The Spice Route Restaurant,"Paota, Jodhpur, Rajasthan 342006, India",Restaurant,4.3,2026-06-08 13:55,Jodhpur Rajasthan
ChIJHb-4mFaNQTkR0LXTOoNP9SU,"Kake di Hatti - Family Restaurant, Jodhpur","1st floor, 580/C, 9th C Rd, Sardarpura, Jodhpur, Rajasthan 342001, India",North Indian restaurant,4.2,2026-06-08 13:55,Jodhpur Rajasthan
ChIJkR_Pl8eNQTkRCrLIZufPPFs,Jodhpur 1459 AD,"Mehrangarh Ft Rd, near Raoti Palace Road, Jodhpur, Rajasthan 342001, India",Fine dining restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
ChIJz8I61e-NQTkRN7CMQwjVZOc,Nutrieat- Healthy-food-in-jodhpur,"673D, 10th C Rd, near nutrieat, Ahead Chandroli House, Sardarpura, Jodhpur, Rajasthan 342003, India",Cafe,4.8,2026-06-08 13:55,Jodhpur Rajasthan
ChIJlwpQOAWNQTkRfvy-lS8Dzsc,Ricotta,"nr. Ganesh Lal HP Petrol Pump, Opp. Medical College, Sindhi Colony, Sector-E, Shastri Nagar, Jodhpur, Rajasthan 342003, India",Italian restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
ChIJY3ujX7aNQTkRz1gmZLHY-nw,Vijay Restaurant,"Bazar, 1st Floor, Main Chowk, Katla, Jodhpur, Rajasthan 342001, India",Rajasthani restaurant,4.1,2026-06-08 13:55,Jodhpur Rajasthan
ChIJ1ctyx8KPQTkR4hGStVyq_ns,THE ROYAL MADRASI RESTRO,"THE ROYAL MADRASI RESTRO, Hari nagar, near BR Birla School, Jhanwar Rd, Jodhpur, Rajasthan 342014, India",South Indian restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
ChIJ4SmNZgKLQTkR3IdaIV7U4j0,The Irish Courtyard,"1st, High Court Colony, Pandit Shree Radha Krishna, shrimali marg, Ratanada, Jodhpur, Rajasthan 342011, India",Irish restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
ChIJ51MDDn6LQTkRSMEytxewN_4,Haldi Restaurant & Banquet Hall,"Dauji Hotel Tiraha, Before Basni Flyover, AIIMS Rd, Basni, Jodhpur, Rajasthan 342011, India",North Indian restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
